id,policy_id,due_date,minimum_payment,created_date,balance,status,payment_method,paid_date
2,2,2024-02-29,340.11,2024-02-14 00:00:00,478.99,Overdue,,
3,2,2024-03-30,454.99,2024-03-15 00:00:00,0.00,Paid,,
4,2,2024-04-29,548.70,2024-04-14 00:00:00,434.06,Pending,,
5,2,2024-05-29,358.27,2024-05-14 00:00:00,0.00,Paid,,
6,2,2024-06-28,221.12,2024-06-13 00:00:00,0.00,Paid,,
7,2,2024-07-28,485.65,2024-07-13 00:00:00,0.00,Paid,,
8,3,2024-10-09,221.77,2024-09-24 00:00:00,507.98,Pending,,
9,3,2024-11-08,348.27,2024-10-24 00:00:00,0.00,Paid,,
10,3,2024-12-08,92.64,2024-11-23 00:00:00,183.34,Pending,,
11,3,2025-01-07,421.46,2024-12-23 00:00:00,591.79,Pending,,
12,3,2025-02-06,440.84,2025-01-22 00:00:00,79.71,Pending,,
13,3,2025-03-08,442.54,2025-02-21 00:00:00,0.00,Paid,,
14,4,2024-11-12,545.32,2024-10-28 00:00:00,543.70,Pending,,
15,4,2024-12-12,282.63,2024-11-27 00:00:00,0.00,Paid,,
16,4,2025-01-11,479.63,2024-12-27 00:00:00,259.62,Pending,,
17,4,2025-02-10,551.29,2025-01-26 00:00:00,0.00,Paid,,
18,4,2025-03-12,119.32,2025-02-25 00:00:00,576.28,Overdue,,
19,4,2025-04-11,294.83,2025-03-27 00:00:00,0.00,Paid,,
20,5,2025-04-30,584.44,2025-04-15 00:00:00,415.33,Overdue,,
21,5,2025-05-30,286.59,2025-05-15 00:00:00,71.67,Overdue,,
22,5,2025-06-29,503.82,2025-06-14 00:00:00,0.00,Paid,,
23,5,2025-07-29,226.52,2025-07-14 00:00:00,362.49,Pending,,
24,5,2025-08-28,193.36,2025-08-13 00:00:00,140.69,Pending,,
25,5,2025-09-27,64.23,2025-09-12 00:00:00,227.62,Overdue,,
26,6,2024-07-18,359.83,2024-07-03 00:00:00,476.54,Overdue,,
27,7,2024-08-27,113.74,2024-08-12 00:00:00,0.00,Paid,,
28,7,2024-09-26,511.96,2024-09-11 00:00:00,0.00,Paid,,
29,7,2024-10-26,581.31,2024-10-11 00:00:00,530.79,Pending,,
30,8,2024-10-27,343.00,2024-10-12 00:00:00,54.39,Overdue,,
31,9,2025-01-11,249.76,2024-12-27 00:00:00,0.00,Paid,,
32,9,2025-02-10,137.26,2025-01-26 00:00:00,247.41,Pending,,
33,9,2025-03-12,455.66,2025-02-25 00:00:00,512.21,Overdue,,
34,10,2025-06-06,196.51,2025-05-22 00:00:00,0.00,Paid,,
35,10,2025-07-06,445.83,2025-06-21 00:00:00,141.73,Overdue,,
36,10,2025-08-05,290.53,2025-07-21 00:00:00,477.05,Pending,,
37,10,2025-09-04,224.15,2025-08-20 00:00:00,111.78,Pending,,
38,10,2025-10-04,305.46,2025-09-19 00:00:00,0.00,Paid,,
39,10,2025-11-03,72.36,2025-10-19 00:00:00,141.91,Pending,,
