id,policy_number,policy_effective_date,policy_expire_date,payment_option,total_amount,active,additional_info,created_date
1,POL-000001,2025-09-29,2026-09-29,annual,2232.65,TRUE,Renovación anticipada,2025-09-22 02:00:00
2,POL-000002,2024-01-30,2025-01-29,monthly,734.71,FALSE,Cliente referido,2024-01-25 04:00:00
3,POL-000003,2024-09-09,2025-09-09,monthly,2452.69,TRUE,Cliente referido,2024-08-30 21:00:00
4,POL-000004,2024-10-13,2025-04-11,monthly,805.77,TRUE,Renovación anticipada,2024-10-05 19:00:00
5,POL-000005,2025-03-31,2025-09-27,monthly,1002.29,TRUE,,2025-03-28 00:00:00
6,POL-000006,2024-06-18,2024-12-15,annual,2855.61,TRUE,Ajuste por siniestro previo,2024-06-12 14:00:00
7,POL-000007,2024-07-28,2025-01-24,quarterly,1573.44,TRUE,,2024-07-23 12:00:00
8,POL-000008,2024-09-27,2025-03-26,annual,429.41,TRUE,Ajuste por siniestro previo,2024-09-20 15:00:00
9,POL-000009,2024-12-12,2025-06-10,quarterly,2356.05,TRUE,,2024-12-06 13:00:00
10,POL-000010,2025-05-07,2026-05-07,monthly,3058.83,TRUE,,2025-05-03 23:00:00
11,POL-000011,2025-02-17,2025-08-16,annual,2758.63,TRUE,Cliente referido,2025-02-07 11:00:00
12,POL-000012,2024-02-17,2024-08-15,monthly,3004.44,FALSE,Cliente referido,2024-02-06 18:00:00
13,POL-000013,2024-12-18,2025-12-18,monthly,2059.54,TRUE,,2024-12-08 16:00:00
14,POL-000014,2024-10-29,2025-04-27,annual,2118.10,TRUE,,2024-10-21 22:00:00
15,POL-000015,2024-12-14,2025-12-14,quarterly,1271.16,TRUE,,2024-12-04 22:00:00
16,POL-000016,2024-06-01,2025-06-01,monthly,3163.02,TRUE,Renovación anticipada,2024-05-23 19:00:00
17,POL-000017,2025-02-19,2025-08-18,quarterly,1686.75,TRUE,Cliente referido,2025-02-14 01:00:00
18,POL-000018,2024-05-29,2024-11-25,monthly,782.99,TRUE,Ajuste por siniestro previo,2024-05-27 09:00:00
19,POL-000019,2025-07-31,2026-01-27,quarterly,834.90,TRUE,Cliente referido,2025-07-23 21:00:00
20,POL-000020,2024-10-28,2025-04-26,annual,1680.84,TRUE,Cliente referido,2024-10-19 05:00:00
21,POL-000021,2024-11-21,2025-11-21,monthly,732.92,TRUE,Renovación anticipada,2024-11-15 15:00:00
22,POL-000022,2024-07-02,2025-07-02,quarterly,1852.20,FALSE,Renovación anticipada,2024-06-25 19:00:00
23,POL-000023,2025-05-29,2026-05-29,annual,515.41,TRUE,,2025-05-26 13:00:00
24,POL-000024,2025-01-07,2026-01-07,annual,2410.44,TRUE,,2024-12-29 16:00:00
25,POL-000025,2024-07-01,2024-12-28,quarterly,2287.17,TRUE,Cliente referido,2024-06-22 07:00:00
26,POL-000026,2024-10-22,2025-10-22,annual,3026.29,TRUE,Cliente referido,2024-10-15 16:00:00
27,POL-000027,2024-12-24,2025-06-22,annual,814.37,TRUE,,2024-12-15 13:00:00
28,POL-000028,2024-07-22,2025-07-22,annual,2284.99,TRUE,Cliente referido,2024-07-13 15:00:00
29,POL-000029,2024-06-24,2025-06-24,annual,1172.56,TRUE,,2024-06-18 05:00:00
30,POL-000030,2024-07-19,2025-01-15,monthly,1028.93,TRUE,Ajuste por siniestro previo,2024-07-08 10:00:00
31,POL-000031,2024-07-03,2024-12-30,monthly,728.10,TRUE,,2024-06-24 17:00:00
32,POL-000032,2025-05-09,2025-11-05,quarterly,1477.23,TRUE,Renovación anticipada,2025-04-29 23:00:00
33,POL-000033,2024-03-14,2024-09-10,monthly,1394.45,TRUE,,2024-03-09 02:00:00
34,POL-000034,2025-02-23,2025-08-22,annual,2125.71,TRUE,,2025-02-13 13:00:00
35,POL-000035,2024-10-29,2025-10-29,monthly,1585.10,TRUE,Renovación anticipada,2024-10-18 15:00:00
36,POL-000036,2025-07-05,2026-07-05,quarterly,1987.53,TRUE,,2025-06-26 20:00:00
37,POL-000037,2024-05-16,2024-11-12,monthly,1326.40,FALSE,Renovación anticipada,2024-05-09 03:00:00
38,POL-000038,2025-07-06,2026-01-02,annual,1464.86,TRUE,Cliente referido,2025-06-29 04:00:00
39,POL-000039,2024-08-19,2025-08-19,quarterly,1487.22,TRUE,,2024-08-13 09:00:00
40,POL-000040,2025-09-02,2026-09-02,monthly,1307.24,TRUE,,2025-08-27 09:00:00
