id,vin,make,model,model_year,plate,created_date
1,VIN-PENDIENTE-1,,,,,2026-08-08 16:01:52.179527
2,VIN-PENDIENTE-2,,,,,2026-08-08 16:01:52.179527
3,VIN-PENDIENTE-3,,,,,2026-08-08 16:01:52.179527
4,VIN-PENDIENTE-4,,,,,2026-08-08 16:01:52.179527
5,VIN-PENDIENTE-5,,,,,2026-08-08 16:01:52.179527
6,VIN-PENDIENTE-6,,,,,2026-08-08 16:01:52.179527
7,VIN-PENDIENTE-7,,,,,2026-08-08 16:01:52.179527
8,VIN-PENDIENTE-8,,,,,2026-08-08 16:01:52.179527
9,VIN-PENDIENTE-9,,,,,2026-08-08 16:01:52.179527
10,VIN-PENDIENTE-10,,,,,2026-08-08 16:01:52.179527
11,VIN-PENDIENTE-11,,,,,2026-08-08 16:01:52.179527
12,VIN-PENDIENTE-12,,,,,2026-08-08 16:01:52.179527
13,VIN-PENDIENTE-13,,,,,2026-08-08 16:01:52.179527
14,VIN-PENDIENTE-14,,,,,2026-08-08 16:01:52.179527
15,VIN-PENDIENTE-15,,,,,2026-08-08 16:01:52.179527
16,VIN-PENDIENTE-16,,,,,2026-08-08 16:01:52.179527
17,VIN-PENDIENTE-17,,,,,2026-08-08 16:01:52.179527
18,VIN-PENDIENTE-18,,,,,2026-08-08 16:01:52.179527
19,VIN-PENDIENTE-19,,,,,2026-08-08 16:01:52.179527
20,VIN-PENDIENTE-20,,,,,2026-08-08 16:01:52.179527
21,VIN-PENDIENTE-21,,,,,2026-08-08 16:01:52.179527
22,VIN-PENDIENTE-22,,,,,2026-08-08 16:01:52.179527
23,VIN-PENDIENTE-23,,,,,2026-08-08 16:01:52.179527
24,VIN-PENDIENTE-24,,,,,2026-08-08 16:01:52.179527
25,VIN-PENDIENTE-25,,,,,2026-08-08 16:01:52.179527
26,VIN-PENDIENTE-26,,,,,2026-08-08 16:01:52.179527
27,VIN-PENDIENTE-27,,,,,2026-08-08 16:01:52.179527
28,VIN-PENDIENTE-28,,,,,2026-08-08 16:01:52.179527
29,VIN-PENDIENTE-29,,,,,2026-08-08 16:01:52.179527
30,VIN-PENDIENTE-30,,,,,2026-08-08 16:01:52.179527
31,VIN-PENDIENTE-31,,,,,2026-08-08 16:01:52.179527
32,VIN-PENDIENTE-32,,,,,2026-08-08 16:01:52.179527
33,VIN-PENDIENTE-33,,,,,2026-08-08 16:01:52.179527
34,VIN-PENDIENTE-34,,,,,2026-08-08 16:01:52.179527
35,VIN-PENDIENTE-35,,,,,2026-08-08 16:01:52.179527
36,VIN-PENDIENTE-36,,,,,2026-08-08 16:01:52.179527
37,VIN-PENDIENTE-37,,,,,2026-08-08 16:01:52.179527
38,VIN-PENDIENTE-38,,,,,2026-08-08 16:01:52.179527
39,VIN-PENDIENTE-39,,,,,2026-08-08 16:01:52.179527
40,VIN-PENDIENTE-40,,,,,2026-08-08 16:01:52.179527
41,VIN-PENDIENTE-41,,,,,2026-08-08 16:01:52.179527
42,VIN-PENDIENTE-42,,,,,2026-08-08 16:01:52.179527
43,VIN-PENDIENTE-43,,,,,2026-08-08 16:01:52.179527
44,VIN-PENDIENTE-44,,,,,2026-08-08 16:01:52.179527
45,VIN-PENDIENTE-45,,,,,2026-08-08 16:01:52.179527
46,VIN-PENDIENTE-46,,,,,2026-08-08 16:01:52.179527
47,VIN-PENDIENTE-47,,,,,2026-08-08 16:01:52.179527
48,VIN-PENDIENTE-48,,,,,2026-08-08 16:01:52.179527
49,VIN-PENDIENTE-49,,,,,2026-08-08 16:01:52.179527
50,VIN-PENDIENTE-50,,,,,2026-08-08 16:01:52.179527
51,VIN-PENDIENTE-51,,,,,2026-08-08 16:01:52.179527
52,VIN-PENDIENTE-52,,,,,2026-08-08 16:01:52.179527
53,VIN-PENDIENTE-53,,,,,2026-08-08 16:01:52.179527
54,VIN-PENDIENTE-54,,,,,2026-08-08 16:01:52.179527
55,VIN-PENDIENTE-55,,,,,2026-08-08 16:01:52.179527
56,VIN-PENDIENTE-56,,,,,2026-08-08 16:01:52.179527
57,VIN-PENDIENTE-57,,,,,2026-08-08 16:01:52.179527
58,VIN-PENDIENTE-58,,,,,2026-08-08 16:01:52.179527
59,VIN-PENDIENTE-59,,,,,2026-08-08 16:01:52.179527
60,VIN-PENDIENTE-60,,,,,2026-08-08 16:01:52.179527
